Timestep	coord_1_mean_age	coord_2_mean_age	coord_3_mean_age	coord_4_mean_age	coord_5_mean_age	coord_6_mean_age
10900	899.237500	1664.369205	2874.422937	3772.448098	4398.588865	4978.386192
11000	1068.565217	1691.985645	2894.290023	3828.636932	4448.522425	5036.788273
11100	1036.342466	1723.751935	2917.192997	3881.823398	4503.850967	5093.658258
11200	959.843373	1746.199013	2976.837357	3925.335183	4555.014759	5155.124693
11300	948.411765	1765.243183	3024.441501	3964.969143	4618.224763	5217.228398
11400	984.627907	1808.633777	3051.495424	4018.371588	4672.788023	5276.588194
11500	1048.554217	1847.815053	3090.038812	4067.592702	4728.576786	5340.432069
11600	946.854167	1858.812451	3147.546999	4114.234710	4781.428538	5400.627575
11700	1037.855556	1898.414457	3197.315357	4157.089162	4838.646768	5465.600497
11800	1011.500000	1942.584639	3233.354104	4209.396703	4894.592514	5530.447946
11900	1084.266667	1953.318871	3290.341401	4254.002285	4955.087603	5591.705338
12000	994.679612	1999.871903	3327.825941	4305.448955	5014.763098	5656.155897
12100	1104.145833	2048.294355	3376.354476	4351.143982	5073.769684	5721.387644
12200	1105.707071	2054.842857	3435.662267	4400.048215	5128.610323	5782.592577
12300	1067.962963	2094.725809	3465.888161	4460.296221	5187.466641	5848.720824
12400	1203.105263	2112.792964	3520.122297	4515.639552	5248.966286	5916.134866
12500	1189.319588	2164.745192	3555.197134	4566.589461	5311.569855	5983.558599
12600	1298.022222	2184.473148	3593.232929	4628.891268	5375.688842	6047.689668
12700	1338.955556	2241.924790	3632.589330	4688.296067	5433.412282	6116.208569
12800	1181.847619	2282.558423	3675.696956	4753.076065	5495.389135	6183.708933
12900	1173.431193	2316.088676	3728.597666	4805.970964	5560.963369	6251.040185
13000	1225.727273	2336.651068	3793.042103	4866.454687	5623.843053	6320.700665
13100	1285.783019	2361.666960	3851.561360	4922.439845	5691.729897	6390.647284
13200	1269.477477	2393.590917	3914.428854	4976.201393	5759.817602	6459.588523
13300	1320.180180	2430.590116	3973.875071	5030.952794	5826.714409	6530.724704
13400	1315.000000	2479.374742	4019.041378	5100.550773	5895.945016	6601.485334
13500	1381.455357	2505.157150	4066.596900	5165.649156	5966.288723	6672.244017
13600	1480.990476	2526.602627	4109.494242	5238.343871	6034.753604	6743.843780
13700	1403.426087	2580.941762	4164.902002	5293.136390	6102.398565	6815.100585
13800	1550.990741	2608.712255	4224.653386	5356.353968	6175.713885	6887.700129
13900	1598.859813	2637.792966	4277.417983	5417.876301	6244.339622	6957.291054
14000	1619.669811	2689.947656	4331.834810	5478.366333	6314.569726	7028.498769
14100	1663.866667	2725.549712	4392.080955	5539.281251	6384.609565	7105.308163
14200	1771.128713	2777.356626	4428.653655	5615.018620	6454.544820	7181.360093
14300	1572.870690	2835.803128	4481.604380	5686.139832	6523.606847	7259.232928
14400	1621.887931	2888.638784	4543.063441	5752.985381	6595.736015	7337.387358
14500	1699.424779	2939.949236	4590.913125	5824.104356	6666.137699	7414.733091
14600	1789.754545	2979.274971	4654.481121	5889.826061	6740.691489	7494.096574
14700	1790.587719	3037.406051	4704.563574	5963.209032	6813.114156	7573.652660
14800	1850.333333	3068.328044	4764.278757	6037.286871	6890.127520	7650.790473
14900	1813.216667	3114.481541	4828.939581	6103.620521	6968.750404	7728.023567
15000	1733.200000	3172.365264	4892.284060	6173.839801	7045.784890	7807.825892
15100	1814.132812	3220.203313	4964.688691	6236.193254	7118.892622	7888.449086
15200	1813.250000	3265.333814	5043.849948	6298.901481	7197.962916	7968.676197
15300	1845.470149	3294.534223	5117.300563	6372.585341	7274.775830	8050.567638
15400	1907.671642	3361.635524	5164.573517	6448.278540	7353.922500	8131.370420
15500	2074.677419	3394.673721	5233.107005	6526.317765	7432.207973	8212.860092
15600	1960.916031	3452.995577	5277.142914	6602.800982	7512.574923	8296.008170
15700	2023.664122	3490.398837	5345.183018	6673.825572	7589.549801	8376.866198
15800	2034.082707	3545.284458	5405.108003	6755.986073	7666.808423	8459.117698
15900	1959.573427	3595.599969	5477.561358	6829.212140	7751.897147	8543.016542
16000	2093.740741	3634.001865	5549.913068	6904.394019	7831.322623	8626.064218
16100	2032.390071	3662.133251	5619.425191	6976.408213	7909.796432	8709.142834
16200	2075.654676	3710.562874	5689.233519	7055.214623	7992.219879	8792.675185
16300	2156.088235	3759.953343	5763.445916	7126.598562	8073.915053	8876.504691
16400	2230.185185	3806.078482	5825.773891	7209.363894	8156.437366	8963.282111
16500	2377.039062	3859.376710	5889.412811	7288.035332	8241.465945	9048.550692
16600	2347.204545	3916.599393	5956.311994	7367.250493	8326.414429	9135.946013
16700	2485.354839	3960.379243	6038.570083	7440.222153	8407.833081	9223.392040
16800	2393.412698	4017.827389	6105.613872	7519.764136	8493.690156	9310.149616
16900	2383.635659	4060.677641	6189.097198	7599.443646	8575.104449	9398.119032
17000	2591.446281	4117.556687	6247.879076	7679.019464	8659.737566	9484.598639
17100	2686.756303	4156.819601	6326.409317	7760.508244	8743.767906	9571.577642
17200	2789.869565	4207.086583	6404.425809	7836.601782	8831.223820	9657.956404
17300	2862.184211	4263.083986	6485.502948	7913.148805	8918.905032	9747.424315
17400	2752.330579	4338.182479	6544.492389	7994.140450	9010.975246	9834.980077
17500	2642.750000	4405.671815	6617.784889	8079.351957	9094.645604	9925.852543
17600	2548.124088	4475.665624	6680.403123	8160.310852	9181.687586	10016.122567
17700	2685.893939	4527.424967	6755.854377	8246.628642	9268.880739	10106.839871
17800	2766.435115	4598.061840	6826.073572	8330.988703	9357.318567	10196.905826
17900	2874.294574	4666.396672	6902.325852	8412.183542	9446.284087	10287.461665
18000	2919.076923	4718.684749	6982.321446	8498.661141	9533.194528	10377.965525
18100	2937.838462	4764.944928	7063.654110	8584.346326	9620.109461	10467.190255
18200	2927.768657	4837.107021	7138.298182	8672.636091	9708.827341	10558.410517
18300	3097.959677	4901.048244	7217.784924	8757.062860	9799.338356	10649.803684
18400	3199.815126	4976.274672	7290.282081	8845.801053	9890.770836	10741.717080
18500	3187.611570	5049.305830	7359.297576	8936.354947	9979.005177	10832.663468
18600	3092.409449	5098.548382	7448.167145	9023.658455	10066.834793	10924.949549
18700	3189.111111	5150.562050	7529.701789	9108.988279	10160.721010	11017.485973
18800	3226.611111	5217.875385	7606.689690	9199.083361	10248.126209	11111.049295
18900	3351.788618	5288.574365	7680.070239	9287.617281	10339.860906	11202.847184
19000	3497.675000	5353.585974	7756.036429	9377.590392	10430.810089	11295.836355
19100	3520.366667	5429.071082	7827.215765	9466.802523	10522.333758	11389.185654
19200	3539.934426	5488.654641	7911.206448	9556.346113	10610.316066	11483.479238
19300	3622.841667	5544.095892	7998.716957	9641.878685	10703.921011	11576.881773
19400	3602.138211	5616.170931	8087.089410	9725.967505	10795.835844	11669.987132
19500	3645.663934	5672.868233	8163.256797	9818.020079	10890.499852	11763.831696
19600	3687.628099	5746.256235	8243.967861	9909.754963	10985.101538	11858.375680
19700	3695.401639	5816.771337	8328.836534	10003.183780	11078.538445	11954.062455
19800	3720.032258	5889.075892	8405.608586	10097.452629	11171.082456	12048.645363
19900	3852.314050	5954.314157	8482.175081	10189.733993	11264.544332	12143.945708
20000	4045.750000	6026.233348	8559.905585	10279.520319	11357.194734	12239.142128
20100	4107.165217	6103.890575	8641.166762	10370.413403	11450.007945	12334.308358
20200	4175.173913	6161.348073	8733.635582	10458.540107	11544.734423	12428.602906
20300	4178.034188	6218.093270	8820.003073	10553.572379	11637.999551	12523.272719
20400	4261.721739	6279.998696	8903.457006	10643.521632	11731.237165	12617.373329
20500	4324.853448	6339.423849	9002.989003	10729.864053	11827.880845	12712.670321
20600	4428.173913	6402.742754	9087.516473	10826.028147	11921.616265	12808.408922
20700	4486.474138	6481.135865	9171.346918	10918.969024	12016.408080	12905.367949
20800	4586.578947	6549.633204	9256.047857	11012.014946	12110.461952	13001.174110
20900	4732.687500	6611.943613	9345.831445	11107.271384	12204.350342	13097.689905
21000	4629.931034	6685.074447	9439.834572	11198.464493	12300.095049	13194.271907
21100	4499.090164	6761.147680	9536.356901	11286.711328	12396.958923	13290.598485
21200	4546.829268	6833.673264	9630.461550	11378.071965	12494.217511	13387.236621
21300	4550.976000	6915.813379	9714.805457	11472.300305	12589.267721	13484.937699
21400	4710.442623	7000.069540	9800.080567	11561.716476	12687.131110	13581.463975
21500	4730.548387	7069.411511	9889.176116	11655.823934	12781.541729	13678.603277
21600	4796.185484	7141.405622	9977.447241	11751.713676	12875.378743	13776.264019
21700	4827.576000	7213.800000	10066.002386	11846.825355	12972.179663	13873.338960
21800	4698.503876	7297.517701	10151.354944	11942.326629	13068.623284	13970.008116
21900	4756.823077	7374.326022	10233.937270	12040.117949	13162.637429	14068.104886
22000	4860.821705	7459.181479	10325.579772	12136.748357	13258.538757	14166.594619
22100	4997.062500	7536.275837	10419.819608	12231.401931	13354.010179	14264.079960
22200	5166.145161	7622.046275	10505.041742	12326.324345	13451.607311	14362.000282
22300	5241.209677	7702.331233	10599.325451	12418.526063	13549.796183	14460.491205
22400	5432.297521	7765.752823	10691.692717	12513.011753	13646.078608	14558.810008
22500	5487.434426	7843.114130	10781.008943	12606.341149	13743.028321	14656.230505
22600	5529.845528	7928.506518	10869.617336	12700.532230	13840.768282	14754.449533
22700	5470.579365	8012.282992	10964.392385	12792.244549	13936.844485	14852.530534
22800	5597.072000	8092.042258	11052.476591	12891.193180	14033.977417	14950.915569
22900	5647.328000	8171.323268	11149.849664	12986.966849	14132.897209	15049.045731
23000	5730.760000	8254.732245	11238.612837	13082.700263	14229.961622	15146.627950
