Timestep 	 Mobile atoms 	 Crystalline atoms 	 Alpha 	 Crystal size (if single crystal)
6300 	 152027 	 58413 	 0.27757555597795097 	 38.80042689153726
6400 	 150353 	 60087 	 0.28553031743014634 	 39.16758913374863
6500 	 148668 	 61772 	 0.2935373503136286 	 39.53034041296849
6600 	 146923 	 63517 	 0.30182950009503895 	 39.89912079854463
6700 	 145230 	 65210 	 0.3098745485649116 	 40.25051116205896
6800 	 143522 	 66918 	 0.3179908762592663 	 40.59890474044723
6900 	 141784 	 68656 	 0.3262497624025851 	 40.94738442049543
7000 	 140045 	 70395 	 0.33451340049420264 	 41.290227057123175
7100 	 138417 	 72023 	 0.3422495723246531 	 41.60610579757092
7200 	 136643 	 73797 	 0.35067952860672874 	 41.94493918624013
7300 	 134898 	 75542 	 0.35897167838813915 	 42.27297631038534
7400 	 133166 	 77274 	 0.36720205284166507 	 42.59361142047031
7500 	 131419 	 79021 	 0.3755037065196731 	 42.912205943929756
7600 	 129605 	 80835 	 0.3841237407337008 	 43.23808797989113
7700 	 127854 	 82586 	 0.392444402204904 	 43.54805979959627
7800 	 126126 	 84314 	 0.40065576886523474 	 43.849693742343426
7900 	 124354 	 86086 	 0.4090762212507128 	 44.154758072568754
8000 	 122545 	 87895 	 0.41767249572324655 	 44.46190401990403
8100 	 120760 	 89680 	 0.426154723436609 	 44.760871447112955
8200 	 118994 	 91446 	 0.43454666413229426 	 45.05277758256864
8300 	 117205 	 93235 	 0.44304789963885194 	 45.34467829287056
8400 	 115388 	 95052 	 0.45168218969777607 	 45.637350131366524
8500 	 113550 	 96890 	 0.4604162706709751 	 45.92963406744032
8600 	 111753 	 98687 	 0.4689555217639232 	 46.21184581584568
8700 	 109878 	 100562 	 0.47786542482417793 	 46.502678382740946
8800 	 108082 	 102358 	 0.4863999239688272 	 46.77788664791158
8900 	 106286 	 104154 	 0.4949344231134765 	 47.04989420039052
9000 	 104520 	 105920 	 0.5033263638091617 	 47.31432594411739
9100 	 102666 	 107774 	 0.5121364759551416 	 47.588790524776826
9200 	 100830 	 109610 	 0.520861053031743 	 47.85750564597844
9300 	 99101 	 111339 	 0.5290771716403726 	 48.10783049743639
9400 	 97344 	 113096 	 0.5374263448013685 	 48.3595682649175
9500 	 95547 	 114893 	 0.5459655958943167 	 48.61435445631192
9600 	 93765 	 116675 	 0.5544335677627827 	 48.86440367872533
9700 	 92061 	 118379 	 0.5625308876639422 	 49.1011377654975
9800 	 90260 	 120180 	 0.5710891465500856 	 49.348891286557944
9900 	 88585 	 121855 	 0.5790486599505797 	 49.577099860557965
10000 	 86792 	 123648 	 0.5875689032503326 	 49.81907947822038
10100 	 85056 	 125384 	 0.5958182854970538 	 50.05114766049564
10200 	 83431 	 127009 	 0.6035402014826079 	 50.2664442933623
10300 	 81705 	 128735 	 0.611742064246341 	 50.49312065229208
10400 	 80047 	 130393 	 0.6196207945257556 	 50.708966483792175
10500 	 78301 	 132139 	 0.6279176962554648 	 50.93429960948062
10600 	 76623 	 133817 	 0.6358914655008554 	 51.14899400395087
10700 	 75021 	 135419 	 0.6435040866755369 	 51.35229617437553
10800 	 73337 	 137103 	 0.6515063676107204 	 51.56428331756927
10900 	 71730 	 138710 	 0.659142748526896 	 51.76496490512099
11000 	 70098 	 140342 	 0.6668979281505417 	 51.96718837343223
11100 	 68486 	 141954 	 0.6745580688082113 	 52.16540036235658
11200 	 66932 	 143508 	 0.6819425964645505 	 52.35506510415541
11300 	 65428 	 145012 	 0.6890895267059495 	 52.5373279505711
11400 	 63895 	 146545 	 0.6963742634480137 	 52.72181284221043
11500 	 62432 	 148008 	 0.7033263638091618 	 52.89667778589124
11600 	 60876 	 149564 	 0.7107203953620984 	 53.08139859610472
11700 	 59446 	 150994 	 0.717515681429386 	 53.25003489899039
11800 	 58011 	 152429 	 0.7243347272381676 	 53.41819389678083
11900 	 56551 	 153889 	 0.7312725717544193 	 53.588202831759425
12000 	 55163 	 155277 	 0.7378682759931572 	 53.74883357843759
12100 	 53802 	 156638 	 0.7443356776278274 	 53.905412834439865
12200 	 52320 	 158120 	 0.7513780650066527 	 54.07488467424888
12300 	 50964 	 159476 	 0.757821706899829 	 54.22902273190831
12400 	 49679 	 160761 	 0.7639279604637902 	 54.374285893647176
12500 	 48381 	 162059 	 0.7700959893556358 	 54.52023489004999
12600 	 47081 	 163359 	 0.7762735221440791 	 54.665629731140875
12700 	 45834 	 164606 	 0.7821992016726858 	 54.80437388499667
12800 	 44624 	 165816 	 0.7879490591142368 	 54.93833308773289
12900 	 43410 	 167030 	 0.793717924348983 	 55.07208179844004
13000 	 42258 	 168182 	 0.7991921687892036 	 55.19840190010352
13100 	 41129 	 169311 	 0.8045571184185516 	 55.32164153546756
13200 	 40001 	 170439 	 0.8099173160996008 	 55.44422608956033
13300 	 38899 	 171541 	 0.8151539631248812 	 55.563463911225995
13400 	 37890 	 172550 	 0.819948678958373 	 55.67219199261819
13500 	 36831 	 173609 	 0.8249809922068048 	 55.78585305302332
13600 	 35791 	 174649 	 0.8299230184375594 	 55.897025900953466
13700 	 34743 	 175697 	 0.8349030602547044 	 56.00860837052325
13800 	 33785 	 176655 	 0.8394554267249572 	 56.11022084294412
13900 	 32736 	 177704 	 0.844440220490401 	 56.221064953731485
14000 	 31756 	 178684 	 0.8490971298232275 	 56.324224647583556
14100 	 30815 	 179625 	 0.8535687131724007 	 56.42292463771428
14200 	 29926 	 180514 	 0.8577931952100362 	 56.515854271109575
14300 	 29068 	 181372 	 0.8618703668504086 	 56.605254499340006
14400 	 28254 	 182186 	 0.8657384527656339 	 56.689809847097656
14500 	 27404 	 183036 	 0.8697776088196161 	 56.77783635705907
14600 	 26607 	 183833 	 0.8735649116137616 	 56.86012693252459
14700 	 25827 	 184613 	 0.8772714312868276 	 56.940432281710386
14800 	 25061 	 185379 	 0.8809114236837103 	 57.019076409618314
14900 	 24314 	 186126 	 0.8844611290629157 	 57.09556146061069
15000 	 23614 	 186826 	 0.8877874928720776 	 57.16704868558821
15100 	 22872 	 187568 	 0.8913134385097891 	 57.242630453029186
15200 	 22194 	 188246 	 0.8945352594563771 	 57.311518953011586
15300 	 21533 	 188907 	 0.8976762972818856 	 57.37852110286643
15400 	 20882 	 189558 	 0.9007698156244061 	 57.444357009473514
15500 	 20265 	 190175 	 0.9037017677247672 	 57.50661549593293
15600 	 19623 	 190817 	 0.9067525185325984 	 57.57125382102355
15700 	 18963 	 191477 	 0.909888804409808 	 57.63755347518678
15800 	 18378 	 192062 	 0.9126686941646075 	 57.696191829662475
15900 	 17842 	 192598 	 0.9152157384527656 	 57.74981415830701
16000 	 17272 	 193168 	 0.9179243489830831 	 57.806728861460336
16100 	 16644 	 193796 	 0.920908572514731 	 57.86930540278214
16200 	 16128 	 194312 	 0.9233605778369132 	 57.92062070089682
16300 	 15594 	 194846 	 0.9258981182284737 	 57.97363050211683
16400 	 15107 	 195333 	 0.9282123170499905 	 58.02189027066024
16500 	 14631 	 195809 	 0.9304742444402205 	 58.06898252845956
16600 	 14179 	 196261 	 0.9326221250712792 	 58.11362979506202
16700 	 13706 	 196734 	 0.9348697966166128 	 58.16027804080912
16800 	 13267 	 197173 	 0.9369559019197871 	 58.20350628175371
16900 	 12834 	 197606 	 0.9390134955331686 	 58.246080894571115
17000 	 12387 	 198053 	 0.9411376164227333 	 58.28996686123003
17100 	 11964 	 198476 	 0.9431476905531267 	 58.331435765937705
17200 	 11561 	 198879 	 0.9450627257175442 	 58.37088919447803
17300 	 11194 	 199246 	 0.9468066907432047 	 58.40677190502884
17400 	 10836 	 199604 	 0.948507888234176 	 58.44173222801187
17500 	 10490 	 199950 	 0.9501520623455617 	 58.475480995190296
17600 	 10121 	 200319 	 0.9519055312678198 	 58.51143030356331
17700 	 9801 	 200639 	 0.9534261547234366 	 58.542570129686204
17800 	 9490 	 200950 	 0.9549040106443641 	 58.57280243795895
17900 	 9183 	 201257 	 0.9563628587720966 	 58.60261532822361
18000 	 8877 	 201563 	 0.9578169549515301 	 58.63230095332986
