Timestep 	 0 Neighbours 	 1 Neighbour  	 2 Neighbours  	 3 Neighbours  	 4 Neighbours 	 5 Neighbours 	 6 Neighbours 	 0 Fraction 	 1 Fraction  	 2 Fraction  	 3 Fraction  	 4 Fraction 	 5 Fraction 	 6 Fraction
20700 	 0 	 116 	 6926 	 19238 	 42194 	 71508 	 66925 	 0.0 	 0.000560638354429768 	 0.03347397623086701 	 0.09297897122861962 	 0.20392736833456576 	 0.345604546970378 	 0.32345449888113986
20800 	 0 	 114 	 6933 	 19245 	 42219 	 71555 	 66969 	 0.0 	 0.0005506315357306736 	 0.03348709155456807 	 0.09295529741348081 	 0.2039220421667834 	 0.3456178906948101 	 0.323467046634627
20900 	 0 	 112 	 6952 	 19246 	 42228 	 71610 	 67002 	 0.0 	 0.0005406710113444364 	 0.03356022206130823 	 0.09290852039584842 	 0.2038522809558291 	 0.345691527878349 	 0.3234467776973208
21000 	 0 	 116 	 6958 	 19241 	 42259 	 71647 	 67034 	 0.0 	 0.00055969699162867 	 0.03357216954958867 	 0.09283732599937275 	 0.20389857904513764 	 0.34569491688982174 	 0.32343731152445054
21100 	 0 	 122 	 6961 	 19221 	 42311 	 71671 	 67071 	 0.0 	 0.0005883572775454892 	 0.033570123024542216 	 0.09269520681722826 	 0.2040490554936655 	 0.3456406101554324 	 0.3234566472315861
21200 	 0 	 123 	 6972 	 19220 	 42340 	 71693 	 67103 	 0.0 	 0.0005929110970783462 	 0.03360793633195309 	 0.09264838443777085 	 0.20409638902680632 	 0.3455900429499014 	 0.32346433615648995
21300 	 0 	 125 	 6966 	 19240 	 42357 	 71735 	 67126 	 0.0 	 0.0006022674163691466 	 0.0335631585794198 	 0.09270100072753903 	 0.20408192764118352 	 0.34562922490592585 	 0.3234224207295627
21400 	 0 	 122 	 6960 	 19251 	 42402 	 71749 	 67161 	 0.0 	 0.000587541236244552 	 0.03351874593657444 	 0.0927111175323268 	 0.2042042909773893 	 0.345536853764839 	 0.32344145055262585
21500 	 0 	 124 	 6967 	 19260 	 42416 	 71796 	 67188 	 0.0 	 0.0005968683664579232 	 0.03353533797671251 	 0.09270713498370646 	 0.2041674889651554 	 0.3455867841791375 	 0.32340638552883016
21600 	 0 	 124 	 6972 	 19267 	 42431 	 71843 	 67211 	 0.0 	 0.0005965898156345021 	 0.033543743504868946 	 0.09269754820830607 	 0.20414437473538355 	 0.34565163003733496 	 0.32336611369847196
